x,y
0.000,0.000
0.100,0.100
0.200,0.200
0.300,0.300
0.400,0.300
0.500,0.300
0.600,0.300
0.700,0.300
0.800,0.300
0.900,0.400
1.000,0.500
1.100,0.600
1.200,0.700
1.300,0.800
1.400,0.900
1.500,1.000
1.600,1.100
1.700,1.200
1.800,1.300
1.900,1.400
2.000,1.500
2.100,1.600
2.200,1.600
2.300,1.600
2.400,1.600
2.500,1.600
2.600,1.600
2.700,1.600
2.800,1.600
2.900,1.600
3.000,1.600
3.100,1.600
3.200,1.600
3.300,1.700
3.400,1.700
3.500,1.700
3.600,1.700
3.700,1.700
3.800,1.700
3.900,1.700
4.000,1.700
4.100,1.700
4.200,1.700
4.300,1.700
4.400,1.700
4.500,1.700
4.600,1.700
4.700,1.700
4.800,1.700
4.900,1.700
5.000,1.800
5.100,1.800
5.200,1.900
5.300,1.900
5.400,1.900
5.500,2.000
